Rank,Address,Address_Nametag,Quantity,Percentage,Value
"2","0x090AAFeeA29d8305E27042A2615D5A1cEd261259","","66,252.527649794809200284","7.9743%",""
"3","0x5b90d50f8792bc2c4e6cb772de3a713f9ebcc17d","","34,091.538154795644446347","4.1033%",""
"4","0x183B863d9050CEbc483Cb8Ad4F7E3A351d9207d4","","33,859.204022222222222222","4.0754%",""
"5","0x5b8edf4eec1a29b14e41dbc63b261f4d674809a3","","21,117.149224748423719258","2.5417%",""
"6","0x7bf2426c652db59ef7f1bb31f5da118c2d3db172","","10,603.234190606064814793","1.2762%",""
"7","0x6ded2d0679ed51798ff585e9d1da2b4d049bad5b","","10,348.306742245370370344","1.2455%",""
"8","0x93ec04e3eb9a0a70844c9053bccf26809055faa2","","10,142.288121482376041748","1.2208%",""
"9","0xe0c96c36920ea6a0af38e07cbdb102a3d9165355","","8,584.47325079648148148","1.0332%",""
"10","0x0cfa50de1111b5fde6553f6702c6959b34502155","kkp2enft.base.eth","8,372.979501915","1.0078%",""
"11","0x41b7fdb1d72a92372e6fc4cb140d1dba491f1eb8","","8,274.414814814814814814","0.9959%",""
"12","0x3df9e23c1e069702d86736be5c2f425b9e528835","","7,215.994384213827168883","0.8685%",""
"13","0x823cae6c8d86ca814c568d0dc421231c126e5fc5","","6,495.901310056135982045","0.7819%",""
"14","0x8098bd1c885066c0b044365d1758eda8087bf6e3","lktch.base.eth","5,966.764617335789471178","0.7182%",""
"15","0xcdfa10030966bdb31cbcb3797cfcaacca6175070","","5,548.390319555260224559","0.6678%",""
"16","0x2a8501c9659077fd2fe8dc1543971d3cbbc9805c","","4,954.493881789444444436","0.5963%",""
"17","0xdd7ac275f3cbd710f112db75d91003bd3b1dc2e7","","4,905.200301197529528591","0.5904%",""
"18","0xbb672bbe37c259e7d22b250d6f1310161eefaece","michaelj0rdan.base.eth","4,523.595481481481481479","0.5445%",""
"19","0x6d3c60810c713d1eaca221bcaab3e17bd4702d69","","4,274.382812660091681106","0.5145%",""
"20","0x4c27033984b9cc77a9877d0cbe27d2c029f06f38","","3,802.585587751212814557","0.4577%",""
"21","0x0221c3cdb3dc4ffddb0564227d205b7f0cbac1cf","","3,403.442499999999999999","0.4096%",""
"22","0xc8e261521407201df9bf646be32372bd9125fc8b","","3,304.887984372276999925","0.3978%",""
"23","0xf7bd1cacde3209513edd15e9f647a2e83462a4d5","","2,474.067361301647580671","0.2978%",""
"24","0x50f54fc1cb76edfd8a5897e2bc8532f8ba26c6e4","","2,385.259855611111111111","0.2871%",""
"25","0x9b615270e7071a01dcae1f6eea6598a319be8466","","2,334.330263629125056049","0.2810%",""
"26","0xf9407f271f21df3e84408c1cffcd83fdb5847400","","1,943.714976031279524011","0.2340%",""
"27","0xbda6faa7ee7bd53c3740377459626453540e78d5","shadowonyx.base.eth","1,679.258319037612419718","0.2021%",""
"28","0xc1fc66cb4f869f18d1c6c7cda33c13ca2ecc27fe","","1,670.192299735298517065","0.2010%",""
"29","0x48d18a882b0be145606a11fce6f8a301256b93fa","","1,392.702968468412017033","0.1676%",""
"30","0xd3086d9cc2c8766b62d22cce4b24c550bd50de2e","","1,222.79164157949558022","0.1472%",""
"31","0x91cd94dfe174a41a4d0661117b5840011be37d09","","1,189.000203603583520896","0.1431%",""
"32","0x068cfd47ae3e4a96c74b255e02939749434aafba","","1,114.585528867824074061","0.1342%",""
"33","0x697bf614f7d9d90e67482448d221ee9d49b7ba29","","966.593221244723314612","0.1163%",""
"34","0xd6195855690d16ff8abd7f391498c1edc1c0fa4b","","931.239838991180846016","0.1121%",""
"35","0x5f6bdca4f573ff1713d8a7726f8e3f0539c099fa","","878.185589073062005687","0.1057%",""
"36","0xb3a2efeb6844695b1383d6ba704e56cfc32ac58b","","733.332225383582131779","0.0883%",""
"37","0x1005fdae76e9a9cc53901d5ff42c1b6a5f267800","","716.215907939361162433","0.0862%",""
"38","0x9497acf220733f6dabf5143f751904b575d3de3d","","682.990801191274221241","0.0822%",""
"39","0x7d08d632dc258ef5f43bfcf2ec64136de72548cf","","574.068959402096501721","0.0691%",""
"40","0xb7e6db33798fd50387b0d659c7c20188507e066b","","433.930110348715681919","0.0522%",""
"41","0xe9a9c837b8918efa22f6e801ae8fd867ce247126","paddyo.base.eth","425.971065910166773419","0.0513%",""
"42","0x89d1d20ae09a3289be7a3a9fcfad62b0dd0c71cc","","400.191767196846176855","0.0482%",""
"43","0x0ec990ab850e671165079b55fdb394f0291d6435","","357.229452304128000602","0.0430%",""
"44","0xf6c67eb8ecb3166c2e9714a73fee790a93b3a86f","","339.368281876433840139","0.0408%",""
"45","0x7dec7d0bb9f27988c005b0fe6e9fd88b22250f08","","300.773435850445245651","0.0362%",""
"46","0x6613e246e5491d16c06c6ee2e3c972d24ca451bb","","297.672788892718468438","0.0358%",""
"47","0x9d4997b64ab37fda59e37ba7d0ba3260e9179a05","","255.366152814084460482","0.0307%",""
"48","0x49043655661a43f3086195d291e3875108f3f10c","","227.048501312386430482","0.0273%",""
"49","0x88e337160054947d8cda68bb50796ab19227d9d8","","210.062118557301595019","0.0253%",""
"50","0x14520f6747df937f07a20a013c79f955f5654798","","168.6781151351679466","0.0203%",""
